id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10758433,loft古典大床间101丨市中心四合院可做饭免费咖啡2分钟地铁西四站故宫天安门北海北大人民阜外医院,44037550,曹家四合院,,西城区,39.92628,116.372,Entire home/apt,295,1,4,2021-09-02,0.15,23,360,1,
10758456,loft古典四人家庭间109丨市中心四合院可做饭免费咖啡2分钟地铁站故宫天安门北海北大人民阜外医院,44037550,曹家四合院,,西城区,39.92481,116.36575,Entire home/apt,373,1,3,2021-09-11,0.20,23,363,2,
11283515,[loft套房]户外阳台/独立院子免费停车/近三里屯望京,416762968,帝,,朝阳区 / Chaoyang,39.95857,116.45851,Private room,823,1,16,2020-07-25,0.23,8,27,0,
11667483,慕田峪长城---伴山小院《1号院观山》,61938486,曹阳,,怀柔区 / Huairou,40.39819,116.56411,Entire home/apt,1980,1,1,2019-06-09,0.03,2,0,0,
11877515,Beijing Badaling Great Wall Cao Ecomony Queen Room,63217473,Xu,,延庆县 / Yanqing,40.36272,115.99968,Private room,200,1,6,2021-04-12,0.11,4,318,1,
11953547,小三的院子 Xiaosan’s Yard,56925319,松林,,怀柔区 / Huairou,40.38379,116.5412,Entire home/apt,2857,2,5,2021-12-12,0.07,2,65,2,
12351244,十渡缤纷客民宿-豪华套房（带麻将机）,36244397,赛,,房山区,39.67027,115.59788,Private room,679,1,6,2021-06-29,0.19,4,364,1,
12351436,十渡缤纷客民宿超级套房（麻将房可做饭）,36244397,赛,,房山区,39.67043,115.59693,Entire home/apt,728,1,6,2020-08-13,0.09,4,363,0,
12351683,十渡缤纷客民宿萌趣家庭房壹号,36244397,赛,,房山区,39.67212,115.59712,Private room,199,1,8,2020-08-29,0.12,4,0,0,
12741371,"悠密之苑轰趴馆 表白求婚  生日派对  演唱会    
户外露营派对",69299389,思洋,,怀柔区 / Huairou,40.28495,116.66041,Entire home/apt,2237,1,1,2021-10-05,0.37,1,357,1,
12741519,灵山木屋---心歇息的地方,64987062,史群勇,,门头沟区 / Mentougou,39.991089,115.485634,Entire home/apt,4463,1,5,2021-05-27,0.08,2,267,1,
12820498,古典四人家庭间loft108丨市中心四合院可做饭免费咖啡2分钟地铁站故宫天安门北海北大人民阜外医院,44037550,曹家四合院,,西城区,39.92313,116.37337,Entire home/apt,373,1,5,2021-11-20,0.20,23,363,2,
12855780,2 rooms entrie rent with comp breakfast,27395637,Alice Yaping,,怀柔区 / Huairou,40.37888,116.55169,Entire home/apt,1843,1,21,2021-12-04,0.61,8,175,5,
12876427,【冬季营业有地暖】赠送早餐栗花小院温暖阳光大套房@Mutianyu Greatwall,27395637,Alice Yaping,,怀柔区 / Huairou,40.3788695438565,116.55185128000149,Private room,870,2,26,2021-07-16,0.72,8,349,1,
13123730,【民舍乡情】 1号套房 （古北水镇、雾灵山、雾灵西峰）,61712853,小磊,,密云县 / Miyun,40.65043,117.45342,Private room,700,1,3,2019-09-02,0.07,1,0,0,
13340815,寄畅居六号五居别墅*清风*近雁栖湖/青龙峡/云蒙山,29090596,Meizi,,怀柔区 / Huairou,40.53362,116.66631,Entire home/apt,1800,1,2,2019-10-06,0.04,2,358,0,
13341378,寄畅居三号四居别墅*花汀*近雁栖湖/青龙峡/云蒙山,29090596,Meizi,,怀柔区 / Huairou,40.53167,116.66498,Entire home/apt,1500,1,1,2020-08-15,0.06,2,362,0,
13379195,【有房，勿直接】平谷天云山石林峡民宿—内涵盖较多房源照片，详情请咨询，请勿拍,76033312,Jane,,平谷区 / Pinggu,40.22755,117.30476,Private room,858,1,30,2021-04-24,0.47,6,90,1,
13475791,水源·别院    真正的深宅大院感受老北京文化Feeling old Beijing culture,67263311,水源,,怀柔区 / Huairou,40.3466,116.40245,Entire home/apt,1880,1,20,2019-07-05,0.30,3,0,0,
13517459,An antiqued courtyard house in suburb Beijing.,49301694,Naomi,,昌平区,40.24501,116.36707,Entire home/apt,2779,1,15,2021-04-09,0.23,1,364,1,
13551788,十渡缤纷客民宿豪华大床房（麻将房）,36244397,赛,,房山区,39.66956,115.59578,Private room,339,1,2,2020-07-15,0.03,4,0,0,
13564625,欣得酒店设计师套房&户外阳台&院内免费停车场&近三里屯,416762968,帝,,朝阳区 / Chaoyang,39.95811,116.46529,Private room,846,1,31,2021-12-02,0.47,8,81,6,
13564721,"loft studio ,Great location",416762968,帝,,朝阳区 / Chaoyang,39.96089,116.4678,Private room,849,1,43,2021-08-26,0.65,8,82,8,
13821149,十渡整租民宿孤山寨附近蹦极乐谷银滩KTV超大泳池,81428114,嘉,,房山区,39.6359,115.64937,Entire home/apt,5999,1,12,2021-05-29,0.18,4,52,1,
13856523,每日消毒 免费停车 慕田峪长城庭筑 三渡书屋家庭房,81857010,萌,,怀柔区 / Huairou,40.37589,116.55743,Private room,785,1,8,2020-10-04,0.13,9,363,0,
14031140,十渡景区精品别墅（西石门民宿别墅区24号）,84016061,Haiying,,房山区,39.63775,115.54725,Entire home/apt,2388,1,2,2018-04-30,0.04,1,340,0,
14128007,慕田峪长城景区内 望山园独栋别墅Mutianyu Great Wall unique villa.,85215983,杨,,怀柔区 / Huairou,40.43121,116.56401,Entire home/apt,6120,1,2,2021-02-14,0.19,1,365,2,
14342954,Superior double room,416762968,帝,,朝阳区 / Chaoyang,39.95895,116.464,Private room,512,1,62,2021-12-18,0.95,8,26,17,
14720435,【逸境佳里】慕田峪长城边的观山别院#团建/会议带投影 娱乐烧烤涮锅 整院地暖,54614042,樱桃,,怀柔区 / Huairou,40.37828,116.54515,Entire home/apt,3727,1,11,2021-08-28,0.21,2,362,5,
15116410,古北水镇 南园小院,95781135,Zheng-Nan,,密云县 / Miyun,40.62075,117.26412,Private room,352,1,17,2021-10-05,0.30,3,365,2,
15258186,丘山里丨怀柔丨网红大滑梯 美式厨房客厅丨烧烤赏景聚会丨,82226936,丘山里,,怀柔区 / Huairou,40.34888,116.40856,Entire home/apt,3251,1,9,2020-12-27,0.16,1,359,1,
15316755,古北水镇司马台自家院子,95781135,Zheng-Nan,,密云县 / Miyun,40.62112,117.26595,Entire home/apt,1280,1,5,2021-10-04,0.10,3,0,1,
15454952,"王府井旁胡同里的老北京四合院之四人女生间床位D,步行到地铁站5分钟",43464691,宸,,东城区,39.92532,116.42133,Shared room,81,1,51,2021-08-30,0.83,11,346,5,
15524594,七姑娘-栗山小筑.慕田峪.红螺寺.私密庭院.山景,99756248,七七,,怀柔区 / Huairou,40.38579,116.55807,Entire home/apt,1226,1,7,2021-12-12,0.22,3,319,2,
15721690,"司马台长城 古北水镇 金山岭长城
 吕府",101486461,Yang,,密云县 / Miyun,40.65638,117.23472,Entire home/apt,1678,1,5,2019-05-04,0.09,1,0,0,
15903349,【后院驿站·山楂院】 : 时尚的情感艺术院落\聚会\轰趴\团建,103164795,鹏,,昌平区,40.12602,116.11109,Entire home/apt,3337,1,38,2020-12-31,0.62,7,79,1,
15974339,壹光年民宿 北京四合院 十三陵水库花海 八达岭长城 泳池戏水 露天影院 免费停车 提供BBQ 穿汉服,103771767,晓欢,,昌平区,40.28329,116.20639,Private room,3243,1,10,2021-06-20,0.25,1,359,2,
15974631,古北水镇欣然墅,103773788,Yang,,密云县 / Miyun,40.65921,117.26811,Entire home/apt,1280,1,10,2021-08-06,0.37,1,89,1,
16012549,Monthly Discounted- Orchid Modern Hutong Residence,25729513,Joel,,东城区,39.94341,116.39941,Entire home/apt,1495,29,10,2021-02-11,0.17,10,155,1,
